marital,age,happy,income,health
married,44.0,very happy,,poor
divorced,25.0,pretty happy,,fair
married,32.0,pretty happy,,good
married,33.0,very happy,,excellent
married,48.0,very happy,,excellent
married,45.0,pretty happy,,excellent
widowed,45.0,not too happy,,fair
married,72.0,very happy,,fair
separated,45.0,pretty happy,,fair
separated,70.0,not too happy,,fair
married,31.0,pretty happy,,good
never married,20.0,pretty happy,,good
separated,22.0,pretty happy,,good
married,63.0,pretty happy,,poor
married,70.0,pretty happy,,fair
married,68.0,very happy,,good
married,43.0,very happy,,excellent
married,53.0,pretty happy,,excellent
married,44.0,pretty happy,,good
married,37.0,pretty happy,,excellent
married,55.0,pretty happy,,good
married,52.0,very happy,,good
married,64.0,pretty happy,,excellent
married,,pretty happy,,excellent
never married,64.0,pretty happy,,good
never married,27.0,pretty happy,,excellent
married,28.0,very happy,,excellent
never married,22.0,pretty happy,,good
married,61.0,very happy,,fair
widowed,82.0,not too happy,,good
never married,22.0,very happy,,good
married,30.0,very happy,,fair
married,29.0,very happy,,excellent
married,60.0,very happy,,fair
married,39.0,very happy,,good
married,21.0,pretty happy,,good
married,56.0,pretty happy,,fair
married,72.0,pretty happy,,good
married,61.0,pretty happy,,poor
divorced,71.0,pretty happy,,excellent
married,56.0,not too happy,,poor
married,71.0,very happy,,excellent
married,48.0,very happy,,excellent
married,43.0,very happy,,fair
never married,61.0,very happy,,good
married,70.0,pretty happy,,excellent
separated,48.0,very happy,,good
married,34.0,very happy,,good
never married,19.0,not too happy,,good
married,52.0,very happy,,fair
married,30.0,not too happy,,excellent
married,60.0,pretty happy,,good
married,50.0,pretty happy,,good
widowed,47.0,pretty happy,,excellent
married,50.0,pretty happy,,poor
married,68.0,pretty happy,,good
divorced,50.0,very happy,,excellent
separated,21.0,not too happy,,fair
married,72.0,pretty happy,,good
married,52.0,not too happy,,good
married,32.0,very happy,,good
married,52.0,very happy,,good
never married,60.0,very happy,,fair
married,32.0,pretty happy,,good
widowed,60.0,pretty happy,,good
widowed,80.0,pretty happy,,fair
married,58.0,pretty happy,,good
married,36.0,pretty happy,,good
married,31.0,pretty happy,,good
married,30.0,very happy,,good
married,63.0,very happy,,good
married,34.0,pretty happy,,good
married,29.0,pretty happy,,good
married,36.0,not too happy,,fair
married,39.0,pretty happy,,excellent
married,73.0,not too happy,,poor
married,38.0,not too happy,,excellent
married,55.0,pretty happy,,good
married,30.0,pretty happy,,good
married,44.0,very happy,,fair
married,43.0,pretty happy,,good
married,38.0,not too happy,,excellent
married,44.0,pretty happy,,excellent
widowed,75.0,pretty happy,,good
married,43.0,very happy,,excellent
married,43.0,pretty happy,,good
married,27.0,very happy,,good
married,58.0,very happy,,fair
married,45.0,very happy,,good
married,31.0,very happy,,excellent
married,23.0,very happy,,good
widowed,69.0,very happy,,good
separated,35.0,pretty happy,,good
widowed,43.0,pretty happy,,good
married,56.0,not too happy,,good
separated,36.0,not too happy,,fair
married,47.0,very happy,,excellent
married,29.0,pretty happy,,good
married,60.0,pretty happy,,good
married,37.0,very happy,,good
married,20.0,very happy,,good
married,55.0,pretty happy,,fair
widowed,71.0,pretty happy,,poor
married,30.0,pretty happy,,good
married,59.0,pretty happy,,poor
separated,42.0,very happy,,excellent
separated,55.0,very happy,,fair
married,24.0,not too happy,,fair
separated,30.0,not too happy,,good
never married,70.0,very happy,,good
widowed,43.0,pretty happy,,fair
married,45.0,not too happy,,good
married,25.0,pretty happy,,good
divorced,37.0,not too happy,,excellent
never married,22.0,pretty happy,,good
never married,27.0,not too happy,,excellent
never married,28.0,pretty happy,,excellent
divorced,42.0,very happy,,excellent
never married,42.0,pretty happy,,excellent
married,30.0,pretty happy,,excellent
married,40.0,pretty happy,,good
married,37.0,very happy,,good
never married,24.0,pretty happy,,excellent
married,46.0,very happy,,excellent
married,53.0,pretty happy,,good
married,64.0,pretty happy,,fair
married,20.0,very happy,,excellent
married,60.0,very happy,,good
married,33.0,pretty happy,,excellent
never married,70.0,pretty happy,,good
married,60.0,very happy,,fair
married,26.0,very happy,,excellent
widowed,74.0,not too happy,,fair
married,33.0,very happy,,good
married,23.0,pretty happy,,fair
never married,19.0,pretty happy,,good
married,59.0,not too happy,,good
married,70.0,pretty happy,,fair
married,52.0,pretty happy,,fair
widowed,,not too happy,,poor
widowed,75.0,very happy,,poor
married,49.0,very happy,,fair
married,49.0,pretty happy,,good
married,46.0,pretty happy,,good
widowed,45.0,pretty happy,,excellent
never married,28.0,pretty happy,,excellent
married,23.0,not too happy,,fair
married,64.0,pretty happy,,good
married,33.0,pretty happy,,good
married,69.0,very happy,,fair
married,72.0,pretty happy,,excellent
married,59.0,pretty happy,,good
married,69.0,very happy,,good
married,58.0,pretty happy,,good
divorced,53.0,pretty happy,,fair
widowed,62.0,very happy,,fair
married,58.0,pretty happy,,good
married,32.0,pretty happy,,good
married,58.0,pretty happy,,fair
married,70.0,pretty happy,,fair
married,69.0,pretty happy,,good
married,36.0,pretty happy,,excellent
married,47.0,pretty happy,,fair
married,31.0,pretty happy,,excellent
widowed,81.0,pretty happy,,fair
married,24.0,pretty happy,,good
married,51.0,pretty happy,,fair
widowed,69.0,not too happy,,poor
married,30.0,very happy,,good
never married,69.0,pretty happy,,fair
married,45.0,not too happy,,fair
married,24.0,pretty happy,,good
married,66.0,very happy,,good
married,29.0,not too happy,,good
married,57.0,not too happy,,good
married,58.0,very happy,,excellent
widowed,77.0,pretty happy,,fair
married,30.0,very happy,,excellent
widowed,56.0,pretty happy,,good
married,49.0,pretty happy,,good
married,52.0,pretty happy,,good
married,40.0,pretty happy,,excellent
married,48.0,pretty happy,,good
married,47.0,pretty happy,,fair
married,31.0,very happy,,excellent
never married,21.0,pretty happy,,good
widowed,84.0,not too happy,,poor
widowed,61.0,pretty happy,,fair
separated,46.0,pretty happy,,good
separated,39.0,not too happy,,good
divorced,64.0,pretty happy,,good
married,77.0,pretty happy,,poor
never married,25.0,pretty happy,,excellent
separated,53.0,pretty happy,,good
married,52.0,pretty happy,,good
never married,71.0,pretty happy,,fair
married,52.0,very happy,,good
married,57.0,very happy,,good
married,69.0,very happy,,good
married,74.0,pretty happy,,fair
married,58.0,pretty happy,,fair
married,23.0,very happy,,good
married,61.0,very happy,,fair
widowed,60.0,pretty happy,,fair
married,36.0,pretty happy,,good
married,58.0,pretty happy,,good
married,28.0,pretty happy,,good
married,29.0,not too happy,,good
married,25.0,very happy,,good
never married,57.0,pretty happy,,fair
married,26.0,very happy,,excellent
married,55.0,pretty happy,,good
never married,29.0,very happy,,good
married,68.0,very happy,,good
never married,18.0,very happy,,good
married,49.0,pretty happy,,good
married,64.0,very happy,,fair
married,38.0,pretty happy,,good
married,30.0,pretty happy,,excellent
widowed,56.0,pretty happy,,fair
married,20.0,pretty happy,,fair
never married,19.0,pretty happy,,good
married,50.0,very happy,,fair
married,38.0,very happy,,good
married,64.0,pretty happy,,good
married,74.0,not too happy,,fair
widowed,75.0,pretty happy,,good
never married,22.0,not too happy,,fair
widowed,75.0,,,fair
never married,23.0,pretty happy,,good
widowed,79.0,pretty happy,,fair
married,60.0,pretty happy,,good
married,26.0,pretty happy,,good
married,63.0,very happy,,fair
married,63.0,pretty happy,,good
married,34.0,very happy,,excellent
married,33.0,very happy,,fair
married,53.0,pretty happy,,good
married,78.0,very happy,,excellent
married,22.0,pretty happy,,fair
never married,32.0,pretty happy,,excellent
never married,27.0,pretty happy,,good
married,35.0,pretty happy,,good
married,39.0,pretty happy,,good
married,24.0,pretty happy,,good
never married,22.0,pretty happy,,excellent
married,28.0,pretty happy,,good
married,57.0,pretty happy,,fair
married,48.0,very happy,,excellent
married,26.0,pretty happy,,good
widowed,50.0,pretty happy,,good
married,32.0,pretty happy,,good
married,56.0,not too happy,,poor
never married,26.0,pretty happy,,excellent
married,30.0,pretty happy,,excellent
widowed,83.0,not too happy,,good
divorced,26.0,pretty happy,,poor
never married,20.0,pretty happy,,excellent
married,41.0,very happy,,excellent
married,56.0,not too happy,,poor
married,83.0,pretty happy,,poor
married,27.0,very happy,,fair
married,21.0,not too happy,,fair
never married,19.0,very happy,,excellent
married,41.0,very happy,,fair
married,35.0,very happy,,good
married,57.0,pretty happy,,good
married,42.0,pretty happy,,good
married,54.0,very happy,,good
married,24.0,pretty happy,,good
married,62.0,very happy,,good
married,39.0,pretty happy,,fair
married,24.0,very happy,,excellent
never married,66.0,very happy,,good
married,55.0,pretty happy,,good
never married,25.0,pretty happy,,good
widowed,61.0,pretty happy,,good
widowed,62.0,very happy,,fair
married,29.0,very happy,,good
married,27.0,pretty happy,,excellent
married,44.0,pretty happy,,good
married,44.0,very happy,,excellent
married,34.0,not too happy,,good
married,23.0,very happy,,excellent
widowed,58.0,pretty happy,,good
never married,24.0,very happy,,excellent
married,34.0,very happy,,good
married,42.0,very happy,,fair
married,32.0,very happy,,excellent
married,52.0,pretty happy,,poor
never married,22.0,pretty happy,,good
married,35.0,not too happy,,excellent
married,45.0,not too happy,,fair
married,30.0,very happy,,good
married,35.0,very happy,,poor
married,36.0,very happy,,excellent
married,57.0,very happy,,fair
separated,28.0,pretty happy,,good
married,42.0,very happy,,good
married,23.0,pretty happy,,excellent
married,53.0,not too happy,,good
married,22.0,very happy,,excellent
married,60.0,pretty happy,,fair
married,56.0,very happy,,excellent
never married,24.0,pretty happy,,good
married,26.0,pretty happy,,excellent
married,55.0,not too happy,,good
never married,20.0,very happy,,excellent
married,30.0,very happy,,good
married,26.0,pretty happy,,good
married,36.0,pretty happy,,good
married,42.0,pretty happy,,good
married,28.0,pretty happy,,good
married,54.0,very happy,,excellent
married,49.0,very happy,,fair
married,30.0,very happy,,excellent
married,40.0,very happy,,good
married,55.0,very happy,,good
widowed,74.0,not too happy,,poor
married,48.0,not too happy,,good
widowed,63.0,pretty happy,,fair
widowed,72.0,very happy,,fair
married,30.0,pretty happy,,excellent
married,78.0,pretty happy,,fair
married,44.0,very happy,,good
married,48.0,pretty happy,,good
married,29.0,not too happy,,excellent
never married,21.0,pretty happy,,excellent
never married,20.0,very happy,,excellent
married,52.0,not too happy,,poor
married,40.0,pretty happy,,good
married,42.0,not too happy,,good
married,54.0,pretty happy,,good
married,43.0,pretty happy,,excellent
married,25.0,very happy,,excellent
married,28.0,not too happy,,good
separated,43.0,pretty happy,,good
married,45.0,very happy,,fair
married,48.0,pretty happy,,good
married,36.0,pretty happy,,fair
married,28.0,pretty happy,,good
married,27.0,very happy,,good
married,52.0,very happy,,excellent
married,20.0,pretty happy,,good
married,28.0,pretty happy,,good
married,38.0,pretty happy,,excellent
married,48.0,very happy,,good
married,47.0,not too happy,,good
married,59.0,pretty happy,,good
married,26.0,pretty happy,,excellent
widowed,63.0,not too happy,,excellent
widowed,80.0,pretty happy,,fair
widowed,68.0,not too happy,,fair
divorced,49.0,pretty happy,,good
never married,21.0,pretty happy,,excellent
married,27.0,very happy,,good
married,41.0,pretty happy,,good
married,31.0,pretty happy,,excellent
married,76.0,not too happy,,good
married,26.0,pretty happy,,fair
never married,73.0,not too happy,,good
married,49.0,pretty happy,,good
married,72.0,very happy,,poor
married,53.0,pretty happy,,fair
widowed,39.0,pretty happy,,good
married,31.0,not too happy,,good
never married,52.0,pretty happy,,good
married,61.0,pretty happy,,fair
widowed,85.0,pretty happy,,fair
married,54.0,not too happy,,good
never married,69.0,very happy,,fair
married,65.0,very happy,,good
married,41.0,very happy,,good
married,58.0,very happy,,fair
married,57.0,pretty happy,,excellent
married,55.0,pretty happy,,poor
married,47.0,pretty happy,,excellent
married,60.0,very happy,,good
married,53.0,very happy,,excellent
married,57.0,pretty happy,,excellent
married,28.0,pretty happy,,good
married,48.0,very happy,,good
married,51.0,not too happy,,good
married,33.0,very happy,,good
married,47.0,pretty happy,,excellent
married,36.0,very happy,,good
never married,19.0,pretty happy,,excellent
married,26.0,pretty happy,,excellent
married,25.0,pretty happy,,good
married,24.0,very happy,,excellent
married,22.0,very happy,,excellent
divorced,25.0,pretty happy,,good
married,21.0,pretty happy,,excellent
never married,29.0,pretty happy,,excellent
divorced,26.0,not too happy,,fair
married,21.0,very happy,,excellent
married,53.0,very happy,,good
