marital,age,happy,income,health
never married,19.0,very happy,"$25,000 or more",good
married,32.0,very happy,"$20,000 to $24,999",good
married,66.0,pretty happy,"$6,000 to $6,999",good
married,24.0,pretty happy,"$20,000 to $24,999",good
never married,20.0,pretty happy,"$10,000 to $14,999",excellent
married,75.0,pretty happy,"$20,000 to $24,999",good
married,25.0,very happy,"$25,000 or more",excellent
divorced,58.0,not too happy,"under $1,000",poor
married,35.0,very happy,"$25,000 or more",excellent
married,32.0,very happy,"$25,000 or more",excellent
divorced,40.0,pretty happy,"$20,000 to $24,999",excellent
never married,24.0,pretty happy,"$15,000 to $19,999",excellent
widowed,60.0,pretty happy,"$10,000 to $14,999",excellent
never married,24.0,not too happy,"$10,000 to $14,999",good
married,24.0,pretty happy,"$3,000 to $3,999",fair
married,23.0,not too happy,"$10,000 to $14,999",good
married,56.0,very happy,"$20,000 to $24,999",good
divorced,29.0,pretty happy,"$20,000 to $24,999",
never married,20.0,pretty happy,"$7,000 to $7,999",excellent
widowed,89.0,very happy,,good
never married,23.0,not too happy,,excellent
widowed,70.0,very happy,"$1,000 to $2,999",poor
married,24.0,not too happy,"$6,000 to $6,999",fair
married,42.0,very happy,"$8,000 to $9,999",good
never married,62.0,not too happy,"$8,000 to $9,999",poor
divorced,24.0,not too happy,"$15,000 to $19,999",fair
married,26.0,very happy,"$3,000 to $3,999",good
divorced,29.0,pretty happy,"$20,000 to $24,999",excellent
never married,23.0,pretty happy,"$10,000 to $14,999",fair
separated,43.0,pretty happy,"$25,000 or more",good
never married,23.0,pretty happy,"$7,000 to $7,999",good
never married,23.0,very happy,"$25,000 or more",fair
never married,25.0,pretty happy,"$15,000 to $19,999",fair
married,26.0,very happy,"$20,000 to $24,999",excellent
never married,26.0,pretty happy,"$3,000 to $3,999",fair
never married,35.0,pretty happy,"$25,000 or more",excellent
widowed,82.0,pretty happy,"$4,000 to $4,999",good
married,21.0,very happy,"$8,000 to $9,999",excellent
divorced,37.0,pretty happy,"$25,000 or more",excellent
divorced,32.0,pretty happy,"$4,000 to $4,999",fair
widowed,75.0,pretty happy,"$6,000 to $6,999",good
married,72.0,pretty happy,"$10,000 to $14,999",fair
never married,24.0,very happy,"$25,000 or more",good
married,58.0,very happy,,excellent
married,49.0,very happy,,excellent
widowed,78.0,pretty happy,,fair
married,34.0,very happy,"$25,000 or more",excellent
married,73.0,very happy,"$15,000 to $19,999",fair
married,68.0,pretty happy,"$15,000 to $19,999",excellent
divorced,35.0,not too happy,"$8,000 to $9,999",good
divorced,30.0,pretty happy,"$10,000 to $14,999",good
divorced,33.0,pretty happy,"$20,000 to $24,999",good
never married,39.0,pretty happy,"$25,000 or more",excellent
divorced,33.0,pretty happy,"$20,000 to $24,999",excellent
married,72.0,pretty happy,"$20,000 to $24,999",good
married,29.0,pretty happy,"$5,000 to $5,999",good
married,62.0,very happy,"$7,000 to $7,999",fair
married,44.0,pretty happy,"$25,000 or more",good
married,33.0,pretty happy,"$25,000 or more",excellent
married,35.0,pretty happy,"$20,000 to $24,999",good
married,64.0,very happy,"$10,000 to $14,999",good
married,62.0,pretty happy,"$25,000 or more",good
married,39.0,pretty happy,"$25,000 or more",excellent
married,32.0,pretty happy,,good
married,34.0,pretty happy,"$25,000 or more",good
never married,55.0,pretty happy,"$5,000 to $5,999",poor
married,66.0,very happy,"$20,000 to $24,999",good
married,55.0,not too happy,"$10,000 to $14,999",excellent
married,27.0,pretty happy,"$10,000 to $14,999",good
never married,21.0,pretty happy,,good
married,42.0,very happy,"$25,000 or more",good
married,36.0,pretty happy,"$25,000 or more",good
married,42.0,very happy,"$20,000 to $24,999",good
married,39.0,very happy,"$25,000 or more",excellent
married,63.0,not too happy,,poor
divorced,36.0,pretty happy,"$25,000 or more",excellent
divorced,59.0,not too happy,"$7,000 to $7,999",fair
widowed,60.0,pretty happy,"$6,000 to $6,999",excellent
married,64.0,very happy,"$10,000 to $14,999",good
never married,29.0,pretty happy,"$10,000 to $14,999",good
married,63.0,very happy,,fair
divorced,57.0,very happy,"$25,000 or more",excellent
married,59.0,pretty happy,"$4,000 to $4,999",fair
divorced,40.0,pretty happy,"$10,000 to $14,999",excellent
married,43.0,pretty happy,"$25,000 or more",excellent
married,26.0,very happy,"$25,000 or more",excellent
widowed,66.0,very happy,"$25,000 or more",good
married,29.0,very happy,"$25,000 or more",excellent
never married,24.0,pretty happy,"$4,000 to $4,999",good
divorced,36.0,pretty happy,"$10,000 to $14,999",fair
never married,30.0,pretty happy,"$8,000 to $9,999",excellent
widowed,89.0,very happy,,fair
married,45.0,pretty happy,"$15,000 to $19,999",excellent
married,83.0,very happy,"$20,000 to $24,999",good
never married,29.0,pretty happy,"$25,000 or more",excellent
divorced,21.0,very happy,"$6,000 to $6,999",good
never married,36.0,pretty happy,"$10,000 to $14,999",good
never married,30.0,pretty happy,"under $1,000",fair
separated,37.0,pretty happy,"$3,000 to $3,999",fair
never married,24.0,pretty happy,"$10,000 to $14,999",fair
married,40.0,pretty happy,"$25,000 or more",good
never married,20.0,very happy,"$25,000 or more",good
widowed,89.0,very happy,"$25,000 or more",good
married,45.0,very happy,"$25,000 or more",excellent
married,48.0,pretty happy,"$25,000 or more",good
married,45.0,pretty happy,"$25,000 or more",excellent
married,55.0,pretty happy,"$25,000 or more",excellent
never married,30.0,pretty happy,"$25,000 or more",excellent
never married,27.0,very happy,"$20,000 to $24,999",excellent
divorced,29.0,very happy,"$20,000 to $24,999",excellent
never married,52.0,,"$25,000 or more",
never married,31.0,very happy,"$15,000 to $19,999",excellent
never married,23.0,pretty happy,"$3,000 to $3,999",fair
never married,29.0,,"$25,000 or more",good
married,24.0,very happy,"$10,000 to $14,999",excellent
divorced,57.0,very happy,"$15,000 to $19,999",excellent
married,61.0,pretty happy,"$10,000 to $14,999",fair
widowed,76.0,not too happy,"$7,000 to $7,999",good
never married,21.0,pretty happy,"$25,000 or more",good
married,51.0,pretty happy,"$6,000 to $6,999",fair
married,70.0,pretty happy,,poor
married,45.0,very happy,"$25,000 or more",excellent
married,57.0,very happy,"$25,000 or more",excellent
married,34.0,pretty happy,"$25,000 or more",excellent
married,59.0,very happy,"$25,000 or more",good
married,40.0,pretty happy,"$20,000 to $24,999",good
widowed,76.0,very happy,"$8,000 to $9,999",good
married,35.0,very happy,"$25,000 or more",good
married,52.0,very happy,"$25,000 or more",excellent
never married,34.0,very happy,,good
never married,28.0,pretty happy,"$20,000 to $24,999",excellent
married,35.0,pretty happy,"$25,000 or more",good
married,33.0,very happy,"$20,000 to $24,999",excellent
divorced,44.0,pretty happy,"$25,000 or more",good
married,20.0,pretty happy,"$8,000 to $9,999",fair
married,30.0,not too happy,"$20,000 to $24,999",good
married,31.0,pretty happy,"under $1,000",
divorced,31.0,,"$7,000 to $7,999",excellent
divorced,40.0,not too happy,,fair
widowed,32.0,pretty happy,"$10,000 to $14,999",excellent
married,23.0,pretty happy,,good
never married,24.0,pretty happy,"$10,000 to $14,999",excellent
widowed,80.0,pretty happy,,excellent
married,27.0,pretty happy,"$25,000 or more",excellent
never married,34.0,pretty happy,,excellent
never married,19.0,not too happy,"$5,000 to $5,999",good
widowed,82.0,pretty happy,"$3,000 to $3,999",good
married,74.0,very happy,"$10,000 to $14,999",
widowed,76.0,not too happy,"$20,000 to $24,999",fair
married,62.0,very happy,"$25,000 or more",excellent
married,44.0,very happy,"$25,000 or more",excellent
married,26.0,pretty happy,"$10,000 to $14,999",excellent
married,46.0,pretty happy,"$25,000 or more",excellent
never married,20.0,pretty happy,"$10,000 to $14,999",good
married,69.0,very happy,,good
never married,21.0,very happy,"$20,000 to $24,999",good
married,49.0,pretty happy,"$10,000 to $14,999",excellent
widowed,56.0,pretty happy,"$25,000 or more",good
widowed,65.0,pretty happy,"$10,000 to $14,999",good
married,49.0,pretty happy,"$25,000 or more",good
divorced,59.0,not too happy,"$8,000 to $9,999",fair
married,63.0,very happy,"$10,000 to $14,999",fair
married,76.0,very happy,"$6,000 to $6,999",fair
never married,69.0,pretty happy,"$10,000 to $14,999",good
widowed,79.0,very happy,,fair
married,42.0,pretty happy,"$15,000 to $19,999",good
never married,29.0,pretty happy,"$4,000 to $4,999",excellent
married,54.0,pretty happy,"$25,000 or more",good
married,20.0,not too happy,"$3,000 to $3,999",good
married,53.0,pretty happy,,good
never married,62.0,very happy,"$25,000 or more",good
never married,38.0,pretty happy,"$25,000 or more",good
married,55.0,very happy,"$25,000 or more",excellent
married,60.0,,"$20,000 to $24,999",
married,30.0,very happy,"$25,000 or more",good
widowed,64.0,,,excellent
divorced,31.0,,"$20,000 to $24,999",
married,25.0,pretty happy,"$25,000 or more",good
divorced,30.0,pretty happy,"$10,000 to $14,999",excellent
married,61.0,not too happy,"$15,000 to $19,999",poor
widowed,56.0,not too happy,"$20,000 to $24,999",excellent
married,82.0,pretty happy,"$25,000 or more",fair
married,36.0,pretty happy,"$25,000 or more",excellent
divorced,39.0,pretty happy,"$8,000 to $9,999",excellent
widowed,81.0,pretty happy,,good
married,79.0,pretty happy,,fair
divorced,33.0,not too happy,"$20,000 to $24,999",good
never married,27.0,not too happy,"$1,000 to $2,999",excellent
divorced,34.0,pretty happy,"$15,000 to $19,999",good
married,62.0,very happy,"$25,000 or more",good
divorced,55.0,pretty happy,"$10,000 to $14,999",good
married,44.0,pretty happy,"$15,000 to $19,999",good
never married,22.0,not too happy,,poor
widowed,89.0,pretty happy,"$1,000 to $2,999",poor
separated,36.0,pretty happy,"$20,000 to $24,999",good
married,23.0,very happy,"$10,000 to $14,999",excellent
married,22.0,pretty happy,"$10,000 to $14,999",good
married,30.0,very happy,"$20,000 to $24,999",excellent
widowed,52.0,pretty happy,"$10,000 to $14,999",good
never married,33.0,pretty happy,"$10,000 to $14,999",good
never married,22.0,pretty happy,"$10,000 to $14,999",good
never married,37.0,pretty happy,"$15,000 to $19,999",fair
divorced,31.0,not too happy,"$25,000 or more",excellent
never married,24.0,pretty happy,"$1,000 to $2,999",good
divorced,56.0,pretty happy,"$15,000 to $19,999",good
widowed,76.0,very happy,,good
married,68.0,very happy,"$10,000 to $14,999",fair
married,63.0,very happy,"$15,000 to $19,999",excellent
married,77.0,pretty happy,,fair
married,85.0,pretty happy,"$10,000 to $14,999",poor
married,82.0,very happy,,good
married,69.0,very happy,"$10,000 to $14,999",good
married,71.0,pretty happy,"$6,000 to $6,999",good
married,37.0,pretty happy,"$25,000 or more",good
never married,26.0,not too happy,"$5,000 to $5,999",good
married,25.0,pretty happy,"$10,000 to $14,999",fair
married,27.0,pretty happy,"$15,000 to $19,999",good
married,20.0,pretty happy,"$10,000 to $14,999",good
married,35.0,pretty happy,"$3,000 to $3,999",excellent
divorced,71.0,very happy,"$10,000 to $14,999",excellent
married,33.0,pretty happy,,good
married,60.0,very happy,"$25,000 or more",good
married,43.0,very happy,"$25,000 or more",excellent
never married,23.0,pretty happy,"$25,000 or more",good
married,54.0,very happy,"$25,000 or more",excellent
married,41.0,not too happy,"$10,000 to $14,999",good
never married,19.0,not too happy,"$10,000 to $14,999",good
divorced,43.0,pretty happy,"$25,000 or more",good
married,52.0,very happy,"$10,000 to $14,999",good
married,39.0,not too happy,"$25,000 or more",excellent
married,28.0,pretty happy,"$3,000 to $3,999",good
married,25.0,not too happy,"$5,000 to $5,999",good
widowed,38.0,not too happy,"$1,000 to $2,999",good
never married,23.0,not too happy,"$3,000 to $3,999",good
never married,23.0,pretty happy,"$8,000 to $9,999",good
married,63.0,pretty happy,"$8,000 to $9,999",good
never married,21.0,pretty happy,,good
divorced,43.0,pretty happy,"$15,000 to $19,999",fair
widowed,73.0,not too happy,"$20,000 to $24,999",fair
divorced,40.0,not too happy,"$6,000 to $6,999",good
married,59.0,very happy,"$25,000 or more",good
married,64.0,pretty happy,"$20,000 to $24,999",poor
married,71.0,very happy,"$20,000 to $24,999",good
never married,22.0,pretty happy,,good
widowed,68.0,very happy,"$7,000 to $7,999",fair
married,53.0,pretty happy,"$20,000 to $24,999",poor
married,43.0,very happy,"$20,000 to $24,999",good
divorced,60.0,not too happy,"$4,000 to $4,999",poor
divorced,41.0,pretty happy,"$7,000 to $7,999",good
widowed,75.0,pretty happy,,fair
never married,42.0,pretty happy,"$20,000 to $24,999",excellent
widowed,75.0,very happy,"$3,000 to $3,999",poor
married,51.0,very happy,"$25,000 or more",fair
widowed,61.0,pretty happy,"$6,000 to $6,999",good
widowed,61.0,pretty happy,"$1,000 to $2,999",good
married,47.0,very happy,"$25,000 or more",good
married,23.0,pretty happy,,fair
married,60.0,pretty happy,"$25,000 or more",fair
never married,25.0,not too happy,"$4,000 to $4,999",good
widowed,75.0,very happy,"under $1,000",fair
married,36.0,very happy,"$10,000 to $14,999",good
married,40.0,very happy,"$20,000 to $24,999",fair
married,36.0,pretty happy,"$25,000 or more",good
married,24.0,pretty happy,"$20,000 to $24,999",good
divorced,31.0,pretty happy,"$10,000 to $14,999",excellent
married,32.0,very happy,"$15,000 to $19,999",good
widowed,59.0,not too happy,"$3,000 to $3,999",fair
never married,27.0,pretty happy,"$8,000 to $9,999",good
married,51.0,very happy,"$25,000 or more",good
married,28.0,very happy,"$10,000 to $14,999",good
divorced,31.0,pretty happy,"$15,000 to $19,999",good
married,32.0,very happy,"$20,000 to $24,999",good
married,26.0,very happy,"$7,000 to $7,999",fair
married,36.0,very happy,"$25,000 or more",good
married,36.0,very happy,"$15,000 to $19,999",good
married,23.0,not too happy,,fair
never married,25.0,not too happy,"$10,000 to $14,999",excellent
never married,22.0,pretty happy,"$10,000 to $14,999",good
divorced,42.0,very happy,"$20,000 to $24,999",excellent
married,30.0,not too happy,"$25,000 or more",good
married,27.0,pretty happy,"$1,000 to $2,999",good
divorced,47.0,pretty happy,"$25,000 or more",good
married,62.0,pretty happy,"$25,000 or more",good
divorced,43.0,very happy,"$20,000 to $24,999",good
married,74.0,pretty happy,"$20,000 to $24,999",good
widowed,64.0,very happy,"$20,000 to $24,999",good
married,44.0,pretty happy,"$25,000 or more",excellent
never married,21.0,pretty happy,"$25,000 or more",good
divorced,35.0,very happy,"$20,000 to $24,999",good
divorced,34.0,pretty happy,"$25,000 or more",good
separated,22.0,not too happy,"$15,000 to $19,999",good
married,27.0,very happy,"$7,000 to $7,999",excellent
widowed,74.0,very happy,,poor
married,37.0,very happy,"$10,000 to $14,999",good
divorced,38.0,pretty happy,"$10,000 to $14,999",good
never married,34.0,pretty happy,"$10,000 to $14,999",fair
never married,25.0,not too happy,"$10,000 to $14,999",excellent
never married,23.0,pretty happy,"$8,000 to $9,999",excellent
widowed,66.0,very happy,"$3,000 to $3,999",fair
never married,72.0,very happy,"under $1,000",fair
never married,23.0,very happy,"$1,000 to $2,999",good
married,39.0,very happy,"$20,000 to $24,999",good
divorced,27.0,pretty happy,"$10,000 to $14,999",excellent
married,41.0,very happy,,good
married,37.0,very happy,"$15,000 to $19,999",excellent
widowed,67.0,,"$10,000 to $14,999",good
married,70.0,pretty happy,"$25,000 or more",fair
never married,24.0,very happy,"$25,000 or more",good
married,51.0,pretty happy,"$25,000 or more",good
married,58.0,very happy,"$15,000 to $19,999",excellent
married,74.0,pretty happy,"$20,000 to $24,999",poor
widowed,75.0,not too happy,"$25,000 or more",excellent
widowed,67.0,pretty happy,"$25,000 or more",fair
married,47.0,pretty happy,"$25,000 or more",excellent
widowed,66.0,very happy,"$25,000 or more",excellent
never married,23.0,pretty happy,"$25,000 or more",excellent
divorced,27.0,very happy,"$8,000 to $9,999",good
never married,32.0,pretty happy,"$10,000 to $14,999",good
never married,21.0,very happy,"under $1,000",good
never married,20.0,very happy,"$5,000 to $5,999",good
never married,24.0,pretty happy,"$7,000 to $7,999",excellent
never married,23.0,pretty happy,"$15,000 to $19,999",good
never married,23.0,pretty happy,"$3,000 to $3,999",good
married,25.0,pretty happy,"$20,000 to $24,999",excellent
married,27.0,very happy,"$10,000 to $14,999",good
married,45.0,pretty happy,"$25,000 or more",good
married,44.0,pretty happy,"$25,000 or more",good
never married,20.0,pretty happy,"$25,000 or more",excellent
married,43.0,pretty happy,"$25,000 or more",good
married,32.0,pretty happy,"$20,000 to $24,999",good
widowed,51.0,not too happy,"$25,000 or more",excellent
never married,32.0,not too happy,"$25,000 or more",excellent
married,30.0,very happy,"$25,000 or more",excellent
married,61.0,very happy,"$25,000 or more",excellent
married,81.0,very happy,,good
separated,26.0,not too happy,"$10,000 to $14,999",good
widowed,67.0,very happy,,good
married,48.0,pretty happy,"$20,000 to $24,999",poor
widowed,74.0,not too happy,,good
married,25.0,very happy,,good
divorced,52.0,very happy,"$15,000 to $19,999",good
married,30.0,pretty happy,"$10,000 to $14,999",good
divorced,34.0,pretty happy,"$20,000 to $24,999",good
married,46.0,pretty happy,"$25,000 or more",excellent
married,44.0,very happy,"$10,000 to $14,999",good
married,32.0,pretty happy,"$10,000 to $14,999",excellent
separated,48.0,not too happy,"$10,000 to $14,999",poor
never married,24.0,not too happy,"$3,000 to $3,999",fair
married,36.0,very happy,"$25,000 or more",fair
divorced,35.0,not too happy,"$1,000 to $2,999",good
never married,24.0,pretty happy,"$25,000 or more",good
never married,25.0,not too happy,"$5,000 to $5,999",fair
never married,54.0,not too happy,"$25,000 or more",good
married,34.0,very happy,"$25,000 or more",good
married,32.0,very happy,"$25,000 or more",good
married,67.0,pretty happy,"$25,000 or more",excellent
married,56.0,very happy,"$25,000 or more",excellent
married,60.0,pretty happy,"$20,000 to $24,999",fair
widowed,77.0,very happy,"$10,000 to $14,999",fair
never married,25.0,pretty happy,"$10,000 to $14,999",good
married,60.0,pretty happy,"$25,000 or more",excellent
married,29.0,pretty happy,"$20,000 to $24,999",fair
divorced,25.0,pretty happy,"$1,000 to $2,999",good
married,22.0,pretty happy,"$25,000 or more",good
married,34.0,very happy,"$25,000 or more",fair
never married,24.0,pretty happy,"$15,000 to $19,999",good
married,26.0,very happy,"$15,000 to $19,999",excellent
married,52.0,pretty happy,"$25,000 or more",good
married,37.0,pretty happy,"$25,000 or more",good
married,53.0,not too happy,"$25,000 or more",good
never married,21.0,pretty happy,"$4,000 to $4,999",excellent
never married,62.0,pretty happy,"$25,000 or more",fair
married,30.0,pretty happy,"$25,000 or more",excellent
separated,32.0,very happy,"$25,000 or more",excellent
married,22.0,very happy,"$6,000 to $6,999",good
married,68.0,pretty happy,"$25,000 or more",good
divorced,68.0,pretty happy,"$5,000 to $5,999",good
widowed,73.0,very happy,"$15,000 to $19,999",good
never married,44.0,pretty happy,"$10,000 to $14,999",good
married,31.0,pretty happy,"$15,000 to $19,999",fair
married,32.0,pretty happy,"$25,000 or more",good
married,35.0,,"$25,000 or more",good
never married,65.0,pretty happy,"$7,000 to $7,999",poor
married,74.0,very happy,"$7,000 to $7,999",excellent
never married,24.0,pretty happy,"$10,000 to $14,999",excellent
married,68.0,very happy,"$25,000 or more",fair
married,40.0,very happy,"$25,000 or more",excellent
married,23.0,very happy,"$25,000 or more",excellent
never married,25.0,pretty happy,"$25,000 or more",good
married,59.0,pretty happy,"$25,000 or more",excellent
married,25.0,pretty happy,"$25,000 or more",excellent
married,35.0,very happy,"$25,000 or more",excellent
married,45.0,pretty happy,"$25,000 or more",excellent
married,60.0,not too happy,"$15,000 to $19,999",good
married,58.0,pretty happy,"$25,000 or more",good
widowed,82.0,very happy,"$25,000 or more",excellent
divorced,65.0,very happy,"$25,000 or more",excellent
divorced,58.0,pretty happy,"$25,000 or more",good
married,36.0,pretty happy,"$25,000 or more",excellent
widowed,66.0,not too happy,"$25,000 or more",good
married,60.0,,"$25,000 or more",good
married,36.0,,,good
divorced,54.0,very happy,"$25,000 or more",excellent
never married,21.0,pretty happy,"$25,000 or more",excellent
separated,84.0,very happy,"$8,000 to $9,999",good
divorced,52.0,very happy,"$25,000 or more",excellent
married,37.0,pretty happy,"$25,000 or more",good
married,57.0,very happy,"$25,000 or more",good
married,63.0,very happy,"$25,000 or more",good
widowed,81.0,pretty happy,,good
married,80.0,very happy,"$20,000 to $24,999",good
widowed,89.0,pretty happy,,good
married,66.0,very happy,"$15,000 to $19,999",excellent
married,68.0,not too happy,"$15,000 to $19,999",excellent
widowed,82.0,pretty happy,"$10,000 to $14,999",fair
married,45.0,pretty happy,"$25,000 or more",fair
married,60.0,very happy,"$25,000 or more",good
married,35.0,not too happy,"$25,000 or more",good
married,60.0,pretty happy,"$20,000 to $24,999",poor
never married,21.0,pretty happy,,fair
married,35.0,pretty happy,,good
married,43.0,pretty happy,"$25,000 or more",excellent
divorced,42.0,not too happy,"$25,000 or more",excellent
married,37.0,pretty happy,"$25,000 or more",good
married,38.0,pretty happy,"$25,000 or more",fair
married,58.0,pretty happy,"$10,000 to $14,999",good
married,32.0,not too happy,"$20,000 to $24,999",fair
never married,21.0,pretty happy,"$15,000 to $19,999",excellent
married,58.0,pretty happy,"$25,000 or more",fair
married,60.0,very happy,"$25,000 or more",fair
separated,26.0,very happy,"$10,000 to $14,999",good
divorced,34.0,very happy,"$7,000 to $7,999",good
never married,19.0,not too happy,"$25,000 or more",good
married,28.0,very happy,"$25,000 or more",excellent
divorced,58.0,not too happy,"$10,000 to $14,999",excellent
married,62.0,very happy,"$25,000 or more",excellent
never married,28.0,very happy,,good
never married,40.0,not too happy,"$20,000 to $24,999",excellent
widowed,67.0,pretty happy,"$25,000 or more",excellent
widowed,67.0,not too happy,"$15,000 to $19,999",good
married,66.0,pretty happy,"$10,000 to $14,999",excellent
married,54.0,not too happy,"$10,000 to $14,999",fair
widowed,75.0,pretty happy,"$10,000 to $14,999",fair
married,57.0,very happy,"$25,000 or more",excellent
never married,21.0,pretty happy,"$1,000 to $2,999",excellent
married,59.0,not too happy,"$10,000 to $14,999",good
married,76.0,pretty happy,"$20,000 to $24,999",excellent
widowed,70.0,pretty happy,"$15,000 to $19,999",fair
married,70.0,very happy,"$20,000 to $24,999",good
married,68.0,very happy,"$25,000 or more",good
never married,56.0,pretty happy,"$20,000 to $24,999",good
married,40.0,pretty happy,"$25,000 or more",good
divorced,34.0,pretty happy,"$25,000 or more",good
widowed,71.0,not too happy,"$20,000 to $24,999",good
divorced,26.0,not too happy,"$4,000 to $4,999",good
never married,29.0,pretty happy,"$20,000 to $24,999",excellent
married,27.0,pretty happy,"$25,000 or more",good
married,32.0,pretty happy,"$20,000 to $24,999",good
divorced,41.0,pretty happy,"$15,000 to $19,999",good
married,33.0,very happy,"$25,000 or more",good
divorced,41.0,very happy,"$25,000 or more",good
married,29.0,pretty happy,"$25,000 or more",excellent
married,42.0,pretty happy,"$25,000 or more",excellent
married,54.0,pretty happy,"$25,000 or more",excellent
married,39.0,very happy,"$25,000 or more",good
married,73.0,not too happy,"$20,000 to $24,999",fair
married,61.0,very happy,"$15,000 to $19,999",good
married,58.0,very happy,"$20,000 to $24,999",excellent
married,33.0,pretty happy,"$10,000 to $14,999",good
married,45.0,pretty happy,"$15,000 to $19,999",excellent
married,39.0,pretty happy,"$15,000 to $19,999",excellent
married,35.0,pretty happy,"$25,000 or more",good
married,49.0,very happy,"$25,000 or more",excellent
married,38.0,very happy,"$25,000 or more",excellent
married,58.0,pretty happy,"$25,000 or more",good
married,48.0,very happy,"$25,000 or more",good
divorced,53.0,pretty happy,"$10,000 to $14,999",good
married,26.0,pretty happy,"$20,000 to $24,999",good
widowed,68.0,pretty happy,"$10,000 to $14,999",fair
divorced,39.0,not too happy,"$15,000 to $19,999",excellent
divorced,42.0,very happy,"$15,000 to $19,999",excellent
divorced,33.0,pretty happy,"$25,000 or more",good
never married,21.0,very happy,"$25,000 or more",excellent
never married,18.0,very happy,"$25,000 or more",good
widowed,34.0,not too happy,"$15,000 to $19,999",fair
married,45.0,very happy,"$25,000 or more",excellent
married,29.0,very happy,"$20,000 to $24,999",excellent
married,33.0,pretty happy,"$20,000 to $24,999",good
married,52.0,very happy,"$25,000 or more",excellent
widowed,54.0,pretty happy,"$20,000 to $24,999",excellent
divorced,44.0,pretty happy,"$10,000 to $14,999",excellent
married,43.0,pretty happy,"$25,000 or more",excellent
married,41.0,very happy,"$25,000 or more",good
divorced,39.0,pretty happy,"$7,000 to $7,999",excellent
married,61.0,very happy,"$15,000 to $19,999",fair
married,61.0,very happy,"$20,000 to $24,999",excellent
married,32.0,very happy,"$25,000 or more",good
never married,27.0,pretty happy,"$10,000 to $14,999",good
never married,28.0,pretty happy,"$10,000 to $14,999",good
married,33.0,pretty happy,"$15,000 to $19,999",excellent
married,58.0,very happy,"$20,000 to $24,999",good
never married,22.0,very happy,"$4,000 to $4,999",excellent
married,72.0,pretty happy,"$10,000 to $14,999",excellent
married,26.0,very happy,"$25,000 or more",excellent
married,49.0,pretty happy,"$25,000 or more",excellent
married,22.0,pretty happy,"$10,000 to $14,999",excellent
married,,very happy,,
married,83.0,very happy,"$8,000 to $9,999",good
separated,36.0,pretty happy,"$20,000 to $24,999",excellent
married,25.0,pretty happy,"$15,000 to $19,999",good
widowed,66.0,not too happy,"$7,000 to $7,999",fair
married,57.0,very happy,"$25,000 or more",good
divorced,51.0,pretty happy,"$10,000 to $14,999",excellent
divorced,42.0,pretty happy,"$25,000 or more",good
married,56.0,very happy,"$15,000 to $19,999",fair
married,68.0,very happy,"$15,000 to $19,999",fair
widowed,81.0,not too happy,"$5,000 to $5,999",fair
married,53.0,pretty happy,"$25,000 or more",fair
widowed,44.0,not too happy,"$15,000 to $19,999",fair
married,55.0,pretty happy,"$25,000 or more",excellent
married,22.0,pretty happy,"$20,000 to $24,999",excellent
married,22.0,pretty happy,"$10,000 to $14,999",fair
divorced,32.0,pretty happy,"$7,000 to $7,999",good
married,32.0,not too happy,"$25,000 or more",good
married,37.0,pretty happy,"$15,000 to $19,999",good
married,36.0,pretty happy,"$25,000 or more",fair
married,63.0,not too happy,"$15,000 to $19,999",good
widowed,75.0,very happy,"$5,000 to $5,999",good
married,24.0,pretty happy,"$15,000 to $19,999",good
married,34.0,pretty happy,"$15,000 to $19,999",excellent
divorced,59.0,pretty happy,"$25,000 or more",good
married,74.0,very happy,"$20,000 to $24,999",good
married,57.0,pretty happy,"$20,000 to $24,999",fair
married,28.0,pretty happy,"$15,000 to $19,999",good
married,36.0,pretty happy,"$20,000 to $24,999",excellent
married,46.0,pretty happy,"$4,000 to $4,999",good
married,54.0,very happy,"$25,000 or more",good
married,56.0,very happy,"$10,000 to $14,999",good
married,48.0,very happy,"$10,000 to $14,999",fair
widowed,48.0,pretty happy,"$10,000 to $14,999",good
married,61.0,pretty happy,"$20,000 to $24,999",good
married,38.0,pretty happy,"$25,000 or more",good
married,36.0,pretty happy,"$25,000 or more",excellent
married,43.0,pretty happy,"$15,000 to $19,999",fair
married,24.0,very happy,"$10,000 to $14,999",excellent
never married,34.0,very happy,"$20,000 to $24,999",excellent
married,27.0,not too happy,"$1,000 to $2,999",good
married,62.0,very happy,"$25,000 or more",good
married,67.0,pretty happy,"$8,000 to $9,999",good
married,33.0,pretty happy,"$15,000 to $19,999",fair
never married,25.0,pretty happy,"$25,000 or more",good
separated,55.0,pretty happy,"$3,000 to $3,999",fair
never married,35.0,pretty happy,"$20,000 to $24,999",good
married,54.0,pretty happy,"$5,000 to $5,999",fair
divorced,56.0,pretty happy,"$25,000 or more",good
never married,23.0,very happy,"$25,000 or more",good
married,25.0,pretty happy,"$20,000 to $24,999",good
married,28.0,pretty happy,"$20,000 to $24,999",good
never married,29.0,pretty happy,"$10,000 to $14,999",fair
married,35.0,pretty happy,"$8,000 to $9,999",fair
married,27.0,pretty happy,"$10,000 to $14,999",excellent
married,70.0,very happy,,poor
widowed,70.0,very happy,"$25,000 or more",fair
married,34.0,pretty happy,"$25,000 or more",fair
married,55.0,pretty happy,"$15,000 to $19,999",poor
married,47.0,very happy,"$25,000 or more",excellent
widowed,66.0,very happy,"$20,000 to $24,999",excellent
